key,source_zh,source_en,zh,en,review,source_count,sources
m_0014d0f3,成员已移除,Member removed,成员已移除,Member removed,false,1,src/views/TeamsView.vue:933
m_00269f97,刷新失败,Refresh failed,刷新失败,Refresh failed,false,2,src/views/AdminView.vue:2633 | src/views/AdminView.vue:4484
m_0041fe19,下移,move down,下移,move down,false,2,src/views/AdminView.vue:1317 | src/views/AdminView.vue:2660
m_00492b40,访问模式,access mode,访问模式,access mode,false,1,src/views/AdminView.vue:2478
m_004dcf1e,密码过短,Password too short,密码过短,Password too short,false,1,src/views/AdminView.vue:2576
m_00595bb6,无重复字符序列,No repeating run,无重复字符序列,No repeating run,false,1,src/views/LoginView.vue:199
m_009667e9,显示确认密码,Show confirm password,显示确认密码,Show confirm password,false,1,src/views/LoginView.vue:168
m_0122ceb0,较弱,Weak,较弱,Weak,false,1,src/views/LoginView.vue:565
m_01bbe0ec,请先选择一个附件文件,Please select an attachment file first.,请先选择一个附件文件,Please select an attachment file first.,false,2,src/views/AdminView.vue:2594 | src/views/AdminView.vue:4890
m_027b4288,创建队伍,Create team,创建队伍,Create team,false,1,src/views/TeamsView.vue:214
m_02c5ee29,账户设置,Account Settings,账户设置,Account Settings,false,1,src/views/ProfileView.vue:6
m_02f8238a,密码,Password,密码,Password,false,2,src/views/ContestDetailView.vue:229 | src/views/LoginView.vue:130
m_035d13cd,保存题目类别失败,Failed to save challenge category,保存题目类别失败,Failed to save challenge category,false,2,src/views/AdminView.vue:3838 | src/views/AdminView.vue:3839
m_0363a785,分,pts,分,pts,false,1,src/views/ContestDetailView.vue:1614
m_04114707,三血加成(%),Third blood bonus (%),三血加成(%),Third blood bonus (%),false,1,src/views/AdminView.vue:1041
m_044a2437,加载题目附件失败,Failed to load challenge files,加载题目附件失败,Failed to load challenge files,false,1,src/views/ContestDetailView.vue:1437
m_0463511a,更新题目失败,Failed to update challenge,更新题目失败,Failed to update challenge,false,2,src/views/AdminView.vue:2496 | src/views/AdminView.vue:4799
m_04af0993,确认中...,Confirming...,确认中...,Confirming...,false,1,src/views/LoginView.vue:267
m_04bf8b3c,加粗,Bold,加粗,Bold,false,2,src/views/AdminView.vue:1403 | src/views/AdminView.vue:1528
m_05061322,公告标题和内容不能为空,公告标题和内容不能为空,公告标题和内容不能为空,公告标题和内容不能为空,true,2,src/views/AdminView.vue:5375 | src/views/AdminView.vue:5448
m_0544870a,请先填写 compose 模板,Please fill in the compose template first.,请先填写 compose 模板,Please fill in the compose template first.,false,2,src/views/AdminView.vue:2742 | src/views/AdminView.vue:4625
m_05a3691f,加入时间,Joined at,加入时间,Joined at,false,1,src/views/TeamsView.vue:162
m_05b983ca,确认重置密码,Confirm Password Reset,确认重置密码,Confirm Password Reset,false,1,src/views/LoginView.vue:349
